inc,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
20,0.0020362649591918894,0.008718543755071903,0.008809147992515491,0.008928745585941028,0.009321363948196599,0.010001499757273137,0.010986065804160174,0.01231009572733584,0.014008623165278322,0.016116681756465877,0.01813413611020986,0.018941117851707413,0.01877682216780968,0.017774135273433946,0.016056278931503527,0.01395305256631297,0.011315865228454815,0.00863881202612153,0.006386994711523522,0.004040948989984116,0.001981212658766491,0.0010775863973291283,0.0008504717754705121,0.000618524927614902,0.00042040366173822435,0.00028268522082400304,0.00017033596639394932,5.677865546461766e-05,3.142539311459077e-07
21,0.002037945726251666,0.008811564105513989,0.009027806218879355,0.009264585292731943,0.009782841530909277,0.01060190383739934,0.011748349455185573,0.013251171740249928,0.015163525178559284,0.017498698391605446,0.019499239954359933,0.020268771944380832,0.02013105350346658,0.019151319682576558,0.017415342493157314,0.015279498602487115,0.012680969072604931,0.009705525914957401,0.00710820444157446,0.004734373420552458,0.0023992002075062897,0.0011923517647576213,0.0008903376399456729,0.0006511424530946029,0.00043973256572624127,0.0002911416163187627,0.00017637624889013084,5.798671196385113e-05,3.56804145477476e-07
22,0.002039679164675295,0.008902168342957581,0.009247672501742472,0.009598008886524357,0.010243111057122722,0.011202307917525528,0.012504592823714755,0.014191039696664758,0.01631238690934405,0.01887346668774955,0.020860719629012286,0.021587969641559488,0.021478036500127914,0.02051763158322586,0.018764741602817176,0.01659507213016806,0.0140194956737716,0.010798817046776736,0.007886192827090119,0.005432630077117726,0.0029440336886670596,0.0014122180476207444,0.0009277873914223669,0.000682551922075066,0.00045906146971420484,0.0002995980118135041,0.0001812084748871423,6.0402824962441406e-05,3.3049032183947735e-07
23,0.002041481539883035,0.008996396749898912,0.009469954897604079,0.009938680819312262,0.010711836978830897,0.011813584506144956,0.01327654092673414,0.015147820444069081,0.017482993657115233,0.020274812226877048,0.02224515237715037,0.022928912355724605,0.022845556457276546,0.021905688500861727,0.020138301842462007,0.01793359873133467,0.015318156410463055,0.012120430856953912,0.00890216834295755,0.00610793366019727,0.0034900752263270505,0.0016345004434824004,0.0009652371428990904,0.0007151694475547557,0.00047839037370211215,0.0003080544073082306,0.00018604070088423837,6.161088146164298e-05,8.121146357329961e-07
24,0.0020426116501092452,0.009080960704846264,0.009680156728473211,0.01026727218710768,0.011172106505044336,0.01241761275576889,0.01404486486025578,0.016100977021975653,0.01865118429188791,0.021635083845030195,0.02358005480881926,0.024237237544410067,0.02418649917144163,0.023264752062515544,0.021482868726124957,0.01924434003301861,0.016590239904171078,0.013415467424147664,0.009896398841838525,0.006769948621785106,0.004024036198994649,0.0018519506133470045,0.0010026868943757289,0.0007465789165351893,0.0004977192776900323,0.00031651080280290596,0.00019087292688113873,6.281893796090706e-05,6.649007088408531e-07
25,0.002042116482529901,0.009134115190813172,0.009861365203360393,0.010584991046409876,0.011637208257254764,0.0130433860223793,0.014850638545254117,0.017112120311846113,0.019897898599111744,0.022949449316211862,0.02484730607653025,0.02552744188560683,0.025525025772608397,0.024625023680668705,0.022826227553288555,0.02055508133470263,0.017861115341379786,0.014708087878342898,0.010891837397218789,0.0074271313573759405,0.004576118019150899,0.002091145800198097,0.0010401366458523513,0.0007767803290163968,0.000517048181678115,0.00032496719829767625,0.00019570515287808756,6.523505095939073e-05,7.58952042893694e-07
26,0.0020416267445303193,0.00918847773327933,0.01004015756524908,0.010902709905712061,0.012098685839967451,0.013666743175991194,0.015652788060754697,0.01811843137571958,0.02113736456734008,0.02425777450489728,0.026103684835748032,0.026807981774809565,0.026851471808782508,0.0259707986208308,0.024155089702461212,0.02185011790189639,0.019116286044098298,0.01592097660358769,0.012115598630956946,0.008333173731811739,0.0051753140427778475,0.002418529111494271,0.0010751702843306901,0.0008069817414975043,0.0005351690291668521,0.0003334235937924104,0.00020053737887512922,6.644310745860678e-05,8.885765291612497e-07
27,0.002041144831919617,0.009242840275745477,0.010220157983637014,0.011218012652015752,0.01256016342268014,0.014287684216604606,0.016453729519756037,0.019122326326594594,0.022374414422569877,0.025560059411086522,0.027358855538466564,0.0280836894380153,0.028173085618959707,0.02731053327849669,0.025475495456139162,0.02313911418659373,0.02036300035132218,0.017124200876838604,0.013321239017206245,0.009254920840737906,0.0057600133884139265,0.002853429451223432,0.0012237612337380474,0.0008359750974795491,0.000555705989654103,0.0003455041587848878,0.0002053696048721209,6.765116395779202e-05,2.4000331870568713e-07
28,0.002040658634854307,0.009298410874710887,0.010398950345525694,0.011534523454818693,0.013021641005392826,0.01491104137021651,0.017253462922258128,0.020127429333968817,0.023613880390798193,0.026865968486773483,0.028614026241185107,0.029360605157720307,0.02949590748563606,0.028651475992661882,0.02679831732281561,0.024428110471291176,0.021612130771544523,0.018328633206588774,0.014528087459954965,0.010175459893164778,0.006343504677550569,0.003312490920937753,0.0014049697086252798,0.0008649684534615938,0.0005786590631397242,0.00035758472377729833,0.00021020183086913462,7.00672769563849e-05,5.28442986510064e-07
29,0.0020401722473270107,0.009352773417177034,0.010578950763913629,0.011849826201122399,0.013484326644604767,0.015533190467329165,0.018055612437758717,0.02113253234134304,0.02485213830252726,0.028171877562460423,0.029870405000402896,0.03063872893392452,0.030819937408811764,0.02999241870682694,0.028122347245991254,0.025718314812487927,0.0228612611917667,0.01953306553633881,0.01573493590270357,0.01109720700209092,0.006928204023186629,0.0037703443341525044,0.0015861781835124545,0.0008951698659427784,0.0006004040801262215,0.00037087334526920735,0.00021503405686612646,7.127533345557683e-05,1.2597432977443434e-06
30,0.002039684004257611,0.009405927903143943,0.010758951182301557,0.012166337003925342,0.0139470122838167,0.01615413150794257,0.018857761953259305,0.022136427292218035,0.026090396214256326,0.029476578581648132,0.031124367646622176,0.031914436597130294,0.03214155121898899,0.031330945307993574,0.029440336886670727,0.02700489498418701,0.024107975498990547,0.02073266564009205,0.016911582932970987,0.012140967817441114,0.007662702374729333,0.004212493012877273,0.0017661786019004919,0.0009229551654253261,0.000624565210111131,0.00038295391026157,0.00021986628286316557,7.248338995487631e-05,1.2251072216601707e-06
31,0.0020390373583836037,0.009456666276112356,0.010932911318193253,0.012479223637230537,0.014409697923028639,0.016781112831052224,0.019665951751256128,0.023152402808085497,0.027327446069486158,0.03076678292284483,0.03237349806684452,0.03318652009083828,0.033459540859668416,0.03266584773966251,0.03075470235785237,0.02828543487338974,0.025348649523718188,0.021929849630846633,0.018060444663755684,0.01328016509623188,0.008510758037201199,0.0046413530701103645,0.0019425548507906267,0.0009519485214073718,0.0006463102270975862,0.00039624253175331634,0.00022349045236089767,7.489950295328178e-05,2.6900336876403438e-08
32,0.00203724698329294,0.009479619349598066,0.011065797533110527,0.012777613592544762,0.014880839957735315,0.017438295566643055,0.02052971214821835,0.024250526165901818,0.02857657648970844,0.03197725553509117,0.033591219018086385,0.034456187471547856,0.03477873855684701,0.03399833405833291,0.03206785977253478,0.029563558649593914,0.02658811549194647,0.023124617508602906,0.019205682225042767,0.01441332209252631,0.009352773417177107,0.00513544817830274,0.0021841661506401193,0.0009797338208900237,0.0006692633005833374,0.00040832309674581615,0.00022832267835783726,7.610755945259618e-05,1.2606143612130658e-06
33,0.00203545791161148,0.009502572423083775,0.011199891804527034,0.013076003547858988,0.015349565879443475,0.01809668635873314,0.02139468060167984,0.025348649523718146,0.02982449885343149,0.033186520090838334,0.03481014802582749,0.03572585485225738,0.03609672819752646,0.03533323649000178,0.03337980913071797,0.030840474369299046,0.02782637340367557,0.024316969273360457,0.02034971172983046,0.015546479088820848,0.010189956571155755,0.005654912472979303,0.0024608110889678928,0.0010075191203727729,0.0006910083175697871,0.00042161171823749315,0.0002331549043548179,7.731561595186043e-05,1.5352052769959312e-06
34,0.0020336688357629395,0.009524317440070236,0.011335194132442798,0.013373185446673968,0.015820707914150155,0.018753869094323992,0.022259649055141297,0.02644798093803369,0.031073629273653796,0.03439699270308471,0.036027868977069354,0.03699793834596537,0.03741471783820587,0.036666930865171386,0.034692966545400564,0.03211859814550323,0.029064631315404578,0.025510529094617297,0.021494949291117362,0.016679636085115364,0.01102834778163387,0.0061731687111566255,0.0027386640837949636,0.0010353044198553962,0.0007127533345562214,0.0004336922832299047,0.00023798713035200057,7.973172895047096e-05,2.3968213726899687e-07
35,0.0020318689380621384,0.009547270513555946,0.01146928840385931,0.013671575401988186,0.016291849948856824,0.019413467942913324,0.023125825565102044,0.02754731235234925,0.032325175806874586,0.035608673371830296,0.03725042215430822,0.03827002183967336,0.03873633164838306,0.038003041353339595,0.036008540073081394,0.033399138034706,0.030305305340132174,0.026706505028872708,0.022641394908903555,0.01781400113790926,0.011866738992111851,0.006691424949333984,0.0030551748865978046,0.0010920830753200451,0.0007357064080419851,0.00044577284822238636,0.00024281935634885965,8.093978544966332e-05,9.218247462086843e-07
36,0.002030100794427466,0.009569015530542409,0.011600966562277328,0.013963925074806175,0.016755743644568,0.0200585701135117,0.023975089284073277,0.028627314862676875,0.033548937040612674,0.036791360684593995,0.038439149749568115,0.03950827975140253,0.04002291182008204,0.03930049403353189,0.03728545579278638,0.03464102011593279,0.03150611350038452,0.02786503121165145,0.023750390775213244,0.018885547252742028,0.012792110270535641,0.0073606882499173635,0.0034187998928714167,0.0012334256857320471,0.0007562433685292179,0.0004578534132149159,0.00024644352584656806,8.335589844805096e-05,2.2164500539747478e-07
37,0.0020283076138163025,0.009593176660527364,0.011738685003191585,0.01426593919961814,0.01723292596177093,0.02072541730109652,0.024852138302527232,0.029738726841984923,0.03481256413882598,0.03801391386183284,0.039666535152803946,0.040783987414608196,0.041337277291263755,0.04062210784370905,0.03857928430348088,0.035901023044648255,0.032723834451626424,0.029036846015921883,0.024876299432512218,0.01995467725457632,0.013831038859888912,0.008110891335950183,0.0037775926731480757,0.0013771844091424897,0.0007755722725171446,0.00047114203470659136,0.00025127575184367447,8.335589844807815e-05,8.632519692371999e-07
38,0.0020265039846734884,0.00961733779051232,0.011875195387606594,0.014570369437428596,0.017711316335473078,0.021393472545180592,0.025730395377480474,0.03085255493429145,0.036079815406536965,0.03924009120856946,0.04090116889503523,0.04206935952980797,0.042666139440436325,0.04195096999288173,0.03988036115317074,0.03716102597336388,0.03394517957236607,0.03021470110268856,0.026004624202809745,0.021026223369409312,0.014874799675238935,0.008863510534981684,0.00413759350992401,0.0015185270195544973,0.0007985253460027979,0.00048201454319995074,0.0002548999213413368,8.577201144658805e-05,5.776557895222715e-07
